date,week,month,season,is_holiday,promo_event
2022-01-01,52,1,Winter,1,
2022-01-02,52,1,Winter,0,
2022-01-03,1,1,Winter,0,
2022-01-04,1,1,Winter,0,
2022-01-05,1,1,Winter,0,
2022-01-06,1,1,Winter,0,
2022-01-07,1,1,Winter,0,
2022-01-08,1,1,Winter,0,
2022-01-09,1,1,Winter,0,
2022-01-10,2,1,Winter,0,
2022-01-11,2,1,Winter,0,
2022-01-12,2,1,Winter,0,
2022-01-13,2,1,Winter,0,
2022-01-14,2,1,Winter,0,
2022-01-15,2,1,Winter,0,
2022-01-16,2,1,Winter,0,
2022-01-17,3,1,Winter,0,
2022-01-18,3,1,Winter,0,
2022-01-19,3,1,Winter,0,
2022-01-20,3,1,Winter,0,
2022-01-21,3,1,Winter,0,
2022-01-22,3,1,Winter,0,
2022-01-23,3,1,Winter,0,Spring Savings Event
2022-01-24,4,1,Winter,0,Spring Savings Event
2022-01-25,4,1,Winter,0,Spring Savings Event
2022-01-26,4,1,Winter,0,Spring Savings Event
2022-01-27,4,1,Winter,0,Spring Savings Event
2022-01-28,4,1,Winter,0,Spring Savings Event
2022-01-29,4,1,Winter,0,Spring Savings Event
2022-01-30,4,1,Winter,0,Mid-Season Offer
2022-01-31,5,1,Winter,0,Mid-Season Offer
2022-02-01,5,2,Winter,0,Mid-Season Offer
2022-02-02,5,2,Winter,0,Mid-Season Offer
2022-02-03,5,2,Winter,0,Mid-Season Offer
2022-02-04,5,2,Winter,0,Mid-Season Offer
2022-02-05,5,2,Winter,0,Mid-Season Offer
2022-02-06,5,2,Winter,0,Mid-Season Offer
2022-02-07,6,2,Winter,0,Mid-Season Offer
2022-02-08,6,2,Winter,0,Mid-Season Offer
2022-02-09,6,2,Winter,0,Mid-Season Offer
2022-02-10,6,2,Winter,0,Mid-Season Offer
2022-02-11,6,2,Winter,0,Mid-Season Offer
2022-02-12,6,2,Winter,0,Mid-Season Offer
2022-02-13,6,2,Winter,0,Mid-Season Offer
2022-02-14,7,2,Winter,0,Mid-Season Offer
