sku_id,on_hand_units,reorder_point,safety_stock,on_order_units,lead_time_days,date
SKU00001,215,100,33,0,14,2026-08-15
SKU00002,0,882,324,0,14,2026-08-15
SKU00003,414,250,85,0,14,2026-08-15
SKU00004,148,99,35,0,14,2026-08-15
SKU00005,411,284,104,0,14,2026-08-15
SKU00006,621,324,130,0,14,2026-08-15
SKU00007,87,163,54,0,14,2026-08-15
SKU00009,85,154,39,0,14,2026-08-15
SKU00011,3,35,17,0,14,2026-08-15
SKU00013,314,145,55,0,14,2026-08-15
SKU00014,33,76,17,0,14,2026-08-15
SKU00015,79,28,12,0,14,2026-08-15
SKU00016,106,56,22,0,14,2026-08-15
SKU00017,77,55,19,0,14,2026-08-15
SKU00018,148,188,55,0,14,2026-08-15
SKU00019,120,86,40,0,14,2026-08-15
SKU00020,0,760,284,0,14,2026-08-15
SKU00021,252,111,43,0,14,2026-08-15
SKU00023,20,39,13,0,14,2026-08-15
SKU00024,6453,1467,490,0,14,2026-08-15
SKU00025,213,169,57,0,14,2026-08-15
SKU00026,81,51,24,0,14,2026-08-15
SKU00027,204,113,39,0,14,2026-08-15
SKU00028,371,247,76,0,14,2026-08-15
SKU00030,82,105,44,0,14,2026-08-15
SKU00031,508,270,76,0,14,2026-08-15
SKU00032,112,184,63,0,14,2026-08-15
SKU00033,136,64,18,0,14,2026-08-15
SKU00034,136,113,49,0,14,2026-08-15
SKU00035,594,298,113,0,14,2026-08-15
SKU00036,134,85,25,0,14,2026-08-15
SKU00037,334,143,61,0,14,2026-08-15
SKU00038,18,49,24,0,14,2026-08-15
SKU00039,290,179,56,0,14,2026-08-15
SKU00040,101,84,35,0,14,2026-08-15
SKU00041,123,115,46,0,14,2026-08-15
SKU00043,107,68,26,0,14,2026-08-15
SKU00044,316,135,50,0,14,2026-08-15
SKU00045,90,109,40,0,14,2026-08-15
SKU00046,324,244,97,0,14,2026-08-15
SKU00047,291,160,67,0,14,2026-08-15
SKU00048,332,173,82,0,14,2026-08-15
SKU00049,50,35,7,0,14,2026-08-15
SKU00050,48,664,209,0,14,2026-08-15
SKU00051,123,71,24,0,14,2026-08-15
SKU00052,5399,1299,466,0,14,2026-08-15
SKU00053,60,27,9,0,14,2026-08-15
SKU00056,113,189,59,0,14,2026-08-15
SKU00057,30,31,15,0,14,2026-08-15
