sku_id,on_hand_units,on_order_units,lead_time_days,lead_time_demand,forward_demand,projected_stock_at_lead_time,stockout_risk,overstock_risk,quadrant,recommended_action,sales_at_risk_value,capital_locked_value,value_at_stake,sku_name_x,category_x,sku_name_y,category_y
SKU04062,7249.0,0.0,14.0,7.18,45.14,7241.82,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,19658901.07,19658901.07,PurePlus Mobile Accessories Family Pack,Electronics & Accessories,PurePlus Mobile Accessories Family Pack,Electronics & Accessories
SKU03150,7072.0,0.0,14.0,7.03,44.9,7064.97,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,19272659.74,19272659.74,ZestyCo Women's Wear 250g,Apparel & Footwear,ZestyCo Women's Wear 250g,Apparel & Footwear
SKU03043,5107.0,0.0,14.0,6.89,45.52,5100.11,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,17199717.3,17199717.3,HealthFirst Mobile Accessories Medium,Electronics & Accessories,HealthFirst Mobile Accessories Medium,Electronics & Accessories
SKU04409,7772.0,0.0,14.0,7.21,45.07,7764.79,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,15267414.92,15267414.92,SunriseFoods Footwear 2kg,Apparel & Footwear,SunriseFoods Footwear 2kg,Apparel & Footwear
SKU01428,7389.0,0.0,14.0,6.98,45.19,7382.02,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,15007954.89,15007954.89,BasicNeeds Men's Wear 250ml,Apparel & Footwear,BasicNeeds Men's Wear 250ml,Apparel & Footwear
SKU01174,9102.0,0.0,14.0,6.94,45.6,9095.06,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,13247974.97,13247974.97,NovaFresh Home Decor 2L,Home & Kitchen,NovaFresh Home Decor 2L,Home & Kitchen
SKU00075,5552.0,0.0,14.0,8.66,43.61,5543.34,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,13182737.72,13182737.72,TrueTaste Batteries 250g,Electronics & Accessories,TrueTaste Batteries 250g,Electronics & Accessories
SKU01423,5987.0,0.0,14.0,7.08,45.02,5979.92,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,12125075.98,12125075.98,BasicNeeds Mobile Accessories 500g,Electronics & Accessories,BasicNeeds Mobile Accessories 500g,Electronics & Accessories
SKU01542,7538.0,0.0,14.0,9.64,49.57,7528.36,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,11935360.61,11935360.61,FamilyChoice Home Decor 1L,Home & Kitchen,FamilyChoice Home Decor 1L,Home & Kitchen
SKU04791,6763.0,0.0,14.0,6.99,44.84,6756.01,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,11791039.72,11791039.72,CleanWave Batteries Large,Electronics & Accessories,CleanWave Batteries Large,Electronics & Accessories
SKU02421,7292.0,0.0,14.0,7.41,45.63,7284.59,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,11683895.96,11683895.96,HomeStyle Kids Wear 500g,Apparel & Footwear,HomeStyle Kids Wear 500g,Apparel & Footwear
SKU00167,6662.0,0.0,14.0,7.24,46.08,6654.76,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,10933927.19,10933927.19,ZestyCo Batteries 500g,Electronics & Accessories,ZestyCo Batteries 500g,Electronics & Accessories
SKU00024,6453.0,0.0,14.0,8.66,43.45,6444.34,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,10716513.44,10716513.44,HealthFirst Batteries 500g,Electronics & Accessories,HealthFirst Batteries 500g,Electronics & Accessories
SKU04654,6277.0,0.0,14.0,6.99,47.85,6270.01,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,10385180.61,10385180.61,GoldenHarvest Women's Wear 1kg,Apparel & Footwear,GoldenHarvest Women's Wear 1kg,Apparel & Footwear
SKU02541,6617.0,0.0,14.0,7.28,46.04,6609.72,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,10198067.97,10198067.97,FamilyChoice Small Appliances 100g,Electronics & Accessories,FamilyChoice Small Appliances 100g,Electronics & Accessories
SKU01971,7448.0,0.0,14.0,7.12,44.94,7440.88,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,10135751.22,10135751.22,TrueTaste Kids Wear Large,Apparel & Footwear,TrueTaste Kids Wear Large,Apparel & Footwear
SKU02915,5779.0,0.0,14.0,7.05,46.69,5771.95,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,10010337.86,10010337.86,ZestyCo Small Appliances 500ml,Electronics & Accessories,ZestyCo Small Appliances 500ml,Electronics & Accessories
SKU03491,5071.0,0.0,14.0,7.12,45.99,5063.88,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,9699568.14,9699568.14,SoftTouch Batteries 250g,Electronics & Accessories,SoftTouch Batteries 250g,Electronics & Accessories
SKU00987,8554.0,0.0,14.0,7.87,49.29,8546.13,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,9678191.62,9678191.62,TrueTaste Mobile Accessories Medium,Electronics & Accessories,TrueTaste Mobile Accessories Medium,Electronics & Accessories
SKU04321,260.0,0.0,14.0,10034.64,31465.62,-9774.64,0.974,0.0,Reorder now,Raise a replenishment order before stock runs out.,9396364.42,0.0,9396364.42,EliteHome Hair Care Pack of 6,Personal Care,EliteHome Hair Care Pack of 6,Personal Care
SKU03863,7961.0,0.0,14.0,7.33,46.15,7953.67,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,9345860.03,9345860.03,PremiumSelect Small Appliances 500ml,Electronics & Accessories,PremiumSelect Small Appliances 500ml,Electronics & Accessories
SKU04236,7621.0,0.0,14.0,7.08,45.33,7613.92,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,9208978.42,9208978.42,ValueChoice Small Appliances Small,Electronics & Accessories,ValueChoice Small Appliances Small,Electronics & Accessories
SKU02279,7649.0,0.0,14.0,7.41,45.8,7641.59,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,9137145.53,9137145.53,SmartBuy Footwear 250ml,Apparel & Footwear,SmartBuy Footwear 250ml,Apparel & Footwear
SKU03089,7782.0,0.0,14.0,6.99,45.6,7775.01,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,9113714.01,9113714.01,NovaFresh Storage & Containers Medium,Home & Kitchen,NovaFresh Storage & Containers Medium,Home & Kitchen
SKU03975,6275.0,0.0,14.0,6.81,45.1,6268.19,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,9105749.04,9105749.04,DailyBest Men's Wear 2L,Apparel & Footwear,DailyBest Men's Wear 2L,Apparel & Footwear
SKU04554,6258.0,0.0,14.0,7.13,45.02,6250.87,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,8657047.19,8657047.19,UrbanBite Home Decor Pack of 12,Home & Kitchen,UrbanBite Home Decor Pack of 12,Home & Kitchen
SKU00516,6036.0,0.0,14.0,8.28,52.43,6027.72,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,8623158.55,8623158.55,GoldenHarvest Batteries 250g,Electronics & Accessories,GoldenHarvest Batteries 250g,Electronics & Accessories
SKU03941,5499.0,0.0,14.0,7.11,45.51,5491.89,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,8608495.09,8608495.09,CityFresh Batteries 100g,Electronics & Accessories,CityFresh Batteries 100g,Electronics & Accessories
SKU02253,7801.0,0.0,14.0,7.96,48.77,7793.04,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,8519308.2,8519308.2,PrimeCare Mobile Accessories 1kg,Electronics & Accessories,PrimeCare Mobile Accessories 1kg,Electronics & Accessories
SKU00584,4501.0,0.0,14.0,8.66,52.27,4492.34,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,8143615.36,8143615.36,PrimeCare Women's Wear 100g,Apparel & Footwear,PrimeCare Women's Wear 100g,Apparel & Footwear
SKU04729,6517.0,0.0,14.0,8.19,49.47,6508.81,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,8004473.27,8004473.27,PrimeCare Batteries 250ml,Electronics & Accessories,PrimeCare Batteries 250ml,Electronics & Accessories
SKU03173,5479.0,0.0,14.0,7.1,45.11,5471.9,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,7831538.8,7831538.8,SparkleClean Kids Wear Large,Apparel & Footwear,SparkleClean Kids Wear Large,Apparel & Footwear
SKU03634,5500.0,0.0,14.0,7.08,45.26,5492.92,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,7783098.72,7783098.72,ZestyCo Footwear Medium,Apparel & Footwear,ZestyCo Footwear Medium,Apparel & Footwear
SKU02471,7405.0,0.0,14.0,7.17,45.67,7397.83,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,7653191.59,7653191.59,PremiumSelect Home Decor Family Pack,Home & Kitchen,PremiumSelect Home Decor Family Pack,Home & Kitchen
SKU03833,6471.0,0.0,14.0,6.98,45.07,6464.02,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,7577591.04,7577591.04,DailyBest Small Appliances 500ml,Electronics & Accessories,DailyBest Small Appliances 500ml,Electronics & Accessories
SKU02302,5609.0,0.0,14.0,7.2,45.05,5601.8,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,7527577.56,7527577.56,GreenValley Home Decor Large,Home & Kitchen,GreenValley Home Decor Large,Home & Kitchen
SKU03235,7099.0,0.0,14.0,9.95,58.59,7089.05,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,7411084.63,7411084.63,HomeStyle Footwear Family Pack,Apparel & Footwear,HomeStyle Footwear Family Pack,Apparel & Footwear
SKU01674,6236.0,0.0,14.0,7.21,45.19,6228.79,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,7402163.64,7402163.64,GreenValley Cookware 1L,Home & Kitchen,GreenValley Cookware 1L,Home & Kitchen
SKU01970,7665.0,0.0,14.0,6.97,45.98,7658.03,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,7252242.7,7252242.7,FamilyChoice Batteries Large,Electronics & Accessories,FamilyChoice Batteries Large,Electronics & Accessories
SKU04849,6698.0,0.0,14.0,7.06,44.94,6690.94,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,7239730.41,7239730.41,SunriseFoods Batteries 250ml,Electronics & Accessories,SunriseFoods Batteries 250ml,Electronics & Accessories
SKU03073,6327.0,0.0,14.0,6.98,45.77,6320.02,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,7096219.96,7096219.96,PrimeCare Kids Wear 100g,Apparel & Footwear,PrimeCare Kids Wear 100g,Apparel & Footwear
SKU00592,4847.0,0.0,14.0,7.26,46.12,4839.74,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,6869094.81,6869094.81,UrbanBite Kids Wear 100g,Apparel & Footwear,UrbanBite Kids Wear 100g,Apparel & Footwear
SKU01407,6285.0,0.0,14.0,7.09,45.8,6277.91,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,6754678.33,6754678.33,CleanWave Cookware Small,Home & Kitchen,CleanWave Cookware Small,Home & Kitchen
SKU01068,5475.0,0.0,14.0,6.98,44.95,5468.02,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,6752433.63,6752433.63,PrimeCare Mobile Accessories Pack of 6,Electronics & Accessories,PrimeCare Mobile Accessories Pack of 6,Electronics & Accessories
SKU02351,6398.0,0.0,14.0,7.41,48.72,6390.59,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,6630621.25,6630621.25,HomeStyle Small Appliances 1L,Electronics & Accessories,HomeStyle Small Appliances 1L,Electronics & Accessories
SKU03484,7719.0,0.0,14.0,8.88,43.3,7710.12,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,6613920.42,6613920.42,QuickBite Footwear Large,Apparel & Footwear,QuickBite Footwear Large,Apparel & Footwear
